Elementos de adição,,,,,,,,,,,,,,,,,,,,
Nome,Tipo,C,Si,Mn,P,S,Ca,CaO,SiO2,MgO,CaF2,Al2O3,FeO,Fe2O3,CaC2,Rendimento Fe,Rendimento Si,Rendimento Mn,Rendimento Ca,Fechamento
Cal Calcítica,,,,,,,,92.00%,3.00%,2.00%,,,,,,,,,,
Cal Dolomítica,,,,,,,,48.00%,,30.00%,,,,,,,,,,78.00%
Fluorita,,,,,,,,,15.00%,,75.00%,,,,,,,,,
Alumina,,,,,,,,,,,,,,,,,,,,0.00%
TS XXXX,,,,,,,,63.72%,2.63%,9.17%,16.09%,2.41%,1.36%,,,,,,,95.38%
CaC2,,,,,,,,19.00%,,,,,,,72.00%,,,,,91.00%
Carbono,,88.00%,,,,,,,10.00%,,,,,,,,,,,98.00%
FeSi,,,75.00%,,,,,,,,,,,,,,,,,75.00%
FeSiMn,,3.50%,7.25%,65.00%,0.25%,0.03%,,,,,,,,,,,,,,76.03%
SiC,,43.00%,57.00%,,,,,,,,,,,,,,,,,100.00%
Resíduo CaSi,,,45.00%,,,,30.00%,,,,,,,,,,,,,75.00%
Alumínio metálico,,,,,,,,,,,,,,,,,,,,0.00%
Areia,,,,,,,,2.10%,4.37%,75.60%,,11.80%,2.50%,,,,,,,96.37%
Escória de retorno,,,,,,,,50.00%,24.40%,12.80%,1.60%,7.08%,0.53%,,,,,,,96.41%
Aditivo de vazamento extra 1,,,,,,,,,,,,,,,,,,,,0.00%
Aditivo de vazamento extra 2,,,,,,,,,,,,,,,,,,,,0.00%
Aditivo de vazamento extra 3,,,,,,,,,,,,,,,,,,,,0.00%
FeS,,,,,,,,,,,,,,,,,,,,0.00%
Mn Eletrolítico,,,,,,,,,,,,,,,,,,,,0.00%
Aditivo de FP extra 1,,,,,,,,,,,,,,,,,,,,0.00%
Aditivo de FP extra 2,,,,,,,,,,,,,,,,,,,,0.00%
Aditivo de FP extra 3,,,,,,,,,,,,,,,,,,,,0.00%
