VAZAMENTO FEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Adicões,,,,,,,,,,,,,,,,,Composição Química Aço,,,,,,,,Composição Química escória,,,,,,,,,Observações corridas,,,,,,,,,,,,,,,,,,,,,,,,,
Informações de corrida,,,,,,Fundentes/Formadores de escória,,,,,,Ligas/Desoxidantes,,,,,,Resíduos,,Outros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contagem,Data,N° Corrida,Peso Aço,Tipo de aço,T°Vazamento,Cal Calcítica,Cal Dolomítica,Fluorita,Alumina,TS XXXX,CaC2,Carbono,FeSi,FeSiMn,SiC,Resíduo CaSi,Alumínio metálico,Areia,Escória de retorno,Aditivo de vazamento extra 1,Aditivo de vazamento extra 2,Aditivo de vazamento extra 3,C,Si,Mn,P,S,Nb,ppm O2 ,Mn/S,CaO,MgO,SiO2,Al2O3,FeO,MnO,CaF2,Basicidade,Fechamento,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30-04-24,45050,64,1026,1635,250,,,,,,,,600,,,,90,,,,,0.070,0.100,0.560,0.018,0.038,,266.000,,29.71,8.20,19.07,13.10,20.52,4.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,30-04-24,45051,66,1026,1623,250,,,,,,,,600,,,,90,,,,,0.080,0.120,0.590,0.018,0.035,,398.000,,28.79,8.05,18.61,10.44,25.20,4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,30-04-24,45052,66,1026,1661,250,,,,,,,,600,,,,90,,,,,0.100,0.160,0.670,0.027,0.035,,286.000,,29.02,7.09,19.48,13.29,21.86,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,30-04-24,45053,66,1026,1630,250,,,,,,,,600,,,,90,,,,,0.070,0.140,0.660,0.021,0.034,,454.000,,31.33,9.47,19.13,15.58,14.49,5.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,01-05-24,45072,66,1026,1615,250,,,,,,,,600,,,,90,,,,,0.080,0.110,0.560,0.018,0.034,,564.000,,25.21,8.23,19.36,14.76,20.90,5.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,01-05-24,45073,66,1026,1621,250,,,,,,,,600,,,,90,,,,,0.090,0.160,0.720,0.025,0.039,,335.000,,25.33,6.76,16.85,11.33,28.26,5.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,01-05-24,45074,66,1026,1635,250,,,,,,,,600,,,,90,,,,,0.090,0.140,0.650,0.025,0.036,,474.000,,27.51,6.38,21.47,14.21,19.42,5.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,01-05-24,45075,66,1026,1632,250,,,,,,,,600,,,,90,,,,,0.110,0.160,0.640,0.031,0.037,,266.000,,27.66,10.90,20.59,13.34,18.31,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
